Title,Company,Location,JobUrl,Description,Experience,Skills,Source,IsEasyApply
"Java Developer","Tech Corp","Bangalore","https://www.linkedin.com/jobs/view/123","Java Spring Boot MySQL Docker development. Build REST APIs and microservices.","2-4 years","Java,Spring Boot,MySQL,Docker,REST API","LINKEDIN","true"
"Senior Java Developer","Microsoft","Hyderabad","https://www.linkedin.com/jobs/view/456","Senior Java developer for Azure cloud services. Microservices architecture experience required.","5+ years","Java,Spring Boot,Microservices,Azure,Docker,Kubernetes","LINKEDIN","true"
"Java Backend Engineer","Amazon","Mumbai","https://www.naukri.com/job-listings/789","Backend engineer for AWS services. Java Spring Boot DynamoDB Lambda.","3-5 years","Java,Spring Boot,AWS,DynamoDB,Lambda,REST API","NAUKRI","false"
"Full Stack Java Developer","Google","Bangalore","https://www.linkedin.com/jobs/view/1011","Full stack role Java backend React frontend Docker Kubernetes deployment.","4+ years","Java,Spring Boot,React,Docker,Kubernetes,CI/CD","LINKEDIN","true"
"Java Microservices Developer","Oracle","Pune","https://www.linkedin.com/jobs/view/1213","Microservices architecture using Java Spring Cloud Docker Kubernetes.","3-6 years","Java,Microservices,Spring Cloud,Docker,Kubernetes","LINKEDIN","false"
"Lead Java Developer","Infosys","Chennai","https://www.naukri.com/job-listings/1415","Lead Java developer managing team of 5. Spring Boot microservices Azure.","6+ years","Java,Spring Boot,Leadership,Azure,Microservices","NAUKRI","false"
"Java DevOps Engineer","TCS","Bangalore","https://www.linkedin.com/jobs/view/1617","Java developer with DevOps skills. CI/CD pipelines Jenkins Docker Kubernetes.","3-5 years","Java,DevOps,CI/CD,Jenkins,Docker,Kubernetes","LINKEDIN","true"
"Senior Backend Engineer","Flipkart","Bangalore","https://www.linkedin.com/jobs/view/1819","Senior backend engineer Java Spring Boot MySQL Redis Kafka.","5+ years","Java,Spring Boot,MySQL,Redis,Kafka,Microservices","LINKEDIN","true"
"Java Cloud Engineer","IBM","Hyderabad","https://www.naukri.com/job-listings/2021","Java cloud engineer for IBM Cloud. Spring Boot Docker Kubernetes.","3-5 years","Java,Spring Boot,Cloud,Docker,Kubernetes","NAUKRI","false"
"Java Application Developer","Wipro","Pune","https://www.linkedin.com/jobs/view/2223","Enterprise Java applications using Spring Framework REST APIs Maven.","2-4 years","Java,Spring,REST API,Maven,Git","LINKEDIN","true"
"Senior Java Architect","Cognizant","Mumbai","https://www.naukri.com/job-listings/2425","Senior Java architect designing microservices solutions. 8+ years experience.","8+ years","Java,Microservices,Architecture,Spring Boot,Docker","NAUKRI","false"
"Java Full Stack Developer","HCL","Chennai","https://www.linkedin.com/jobs/view/2627","Full stack Java developer Angular Spring Boot MySQL Docker.","3-5 years","Java,Spring Boot,Angular,MySQL,Docker","LINKEDIN","true"
"Java API Developer","Accenture","Gurgaon","https://www.linkedin.com/jobs/view/2829","RESTful API development using Java Spring Boot OAuth JWT.","2-4 years","Java,Spring Boot,REST API,OAuth,JWT","LINKEDIN","true"
"Senior Java Engineer","Capgemini","Bangalore","https://www.naukri.com/job-listings/3031","Senior Java engineer microservices AWS deployment CI/CD.","5+ years","Java,Microservices,AWS,CI/CD,Docker","NAUKRI","false"
"Java Backend Developer","Tech Mahindra","Hyderabad","https://www.linkedin.com/jobs/view/3233","Backend Java developer Spring Boot PostgreSQL Redis caching.","3-5 years","Java,Spring Boot,PostgreSQL,Redis,REST API","LINKEDIN","true"
"Lead Java Architect","L&T Infotech","Pune","https://www.linkedin.com/jobs/view/3435","Lead architect designing enterprise Java solutions. Spring Cloud microservices.","7+ years","Java,Architecture,Spring Cloud,Microservices,Leadership","LINKEDIN","false"
"Java Cloud Developer","Mindtree","Bangalore","https://www.naukri.com/job-listings/3637","Cloud native Java development Azure Spring Boot Kubernetes Helm.","3-5 years","Java,Azure,Spring Boot,Kubernetes,Helm","NAUKRI","false"
"Senior Java Developer","Mphasis","Bangalore","https://www.linkedin.com/jobs/view/3839","Senior Java developer building scalable microservices Docker Kubernetes Jenkins.","5+ years","Java,Microservices,Docker,Kubernetes,Jenkins,CI/CD","LINKEDIN","true"
"Java Integration Developer","DXC Technology","Hyderabad","https://www.linkedin.com/jobs/view/4041","Integration developer Spring Integration Kafka RabbitMQ message queues.","3-5 years","Java,Spring Integration,Kafka,RabbitMQ,Messaging","LINKEDIN","true"
"Java Performance Engineer","Persistent Systems","Pune","https://www.naukri.com/job-listings/4243","Performance optimization Java applications profiling tuning monitoring.","4-6 years","Java,Performance,Profiling,JVM,Monitoring","NAUKRI","false"
